clinic_name,clinic_id,question,answer,website,voice assistant
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b55,Do I need a referral from my doctor to see an audiologist?,"No, you do not a referral to come in to see us. Just give us a call and we'll make sure you're seen as quickly as possible.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b56,How much does a hearing test cost?,The cost varies depending on the type of test and insurance coverage. A comprehensive hearing evaluation is $75 to $100 depending on your age and services needed. There is no charge for people aged 65 and older.  A tinnitus evaluation is $125.,FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b57,Are hearing tests covered by insurance?,Many insurance plans cover diagnostic hearing tests when ordered for medical reasons. Coverage for routine screenings or hearing aids varies by plan.,FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b58,How long does a hearing test take?,"A full hearing evaluation usually takes 30 to 60 minutes, depending on the complexity of your case.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b59,What should I expect at my first appointment?,"We’ll review your hearing and medical history, examine your ears, and perform a hearing test. If needed, we’ll discuss results and treatment options. The appointment takes 30 to 60 minutes, depending on the complexity of your case.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b60,Do you clean ears or remove earwax?,"Yes, we provide professional earwax removal when appropriate. It’s quick, safe, and much safer than doing it at home.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b61,What are the signs I might need a hearing test?,"Common signs include difficulty following conversations, frequently asking people to repeat themselves, turning up the TV, or feeling that people mumble.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b62,Do you provide pediatric hearing tests?,"Yes, we test children 7 and up using age-appropriate methods and equipment.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b63,What brands of hearing aids do you carry?,We work with several leading manufacturers to ensure the best technology will deliver the best results for you.,FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b64,How much do hearing aids cost?,"Prices vary by hearing needs, style and technology, and start at $2,000 per device. We’ll help you choose options that fit your budget and needs.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b65,Are hearing aids covered by insurance?,"Some insurance plans cover part of the cost, but many do not. We’ll check your benefits and explain financing or payment plan options.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b66,Do you offer payment plans or financing?,"Yes, we have financing options to make hearing care more affordable. We can discuss details during your appointment.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b67,Do you do hearing aid repairs?,"Yes, we provide in-office repairs and also send devices to the manufacturer if needed. If you need a loaner while your hearing aids out for repair, we will do our best to loan you a set. ",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b68,Can I get batteries for my hearing aids at your office?,"Yes, we stock a full range of batteries and accessories for most hearing aids.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b69,Do you sell rechargeable hearing aids?,"Yes, many newer models are rechargeable. We’ll show you options during your consultation.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b70,Can I try hearing aids before I buy them?,"Yes, we offer a 60 day trial period so you can test the devices in your daily life before committing.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b71,How often should I get my hearing checked?,"Adults with normal hearing should test every 2–3 years. If you have hearing loss, yearly tests are recommended.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b72,Do you offer tinnitus treatment?,"Yes, we evaluate tinnitus and provide management options such as counseling, and hearing aids with tinnitus features. ",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b73,Can hearing aids help with tinnitus?,"For many people, yes. Hearing aids can amplify external sounds, which often reduces the perception of tinnitus.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b74,Do you do balance testing or treat dizziness?,"No, we DO NOT provide vestibular testing to evaluate balance and dizziness concerns.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b75,Do you perform cochlear implant evaluations?,"Yes, we evaluate candidates for cochlear implants when appropriate. ",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b76,Are children’s hearing aids different from adults’?,"Yes, pediatric hearing aids are designed to support speech and language development, with features tailored for children.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b77,Do you offer custom earplugs or hearing protection?,"Yes, we make custom earplugs for musicians, swimmers, and noise protection.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b78,Can loud music damage my hearing?,"Yes, repeated exposure to loud music can cause permanent hearing loss. Custom earplugs or musician’s filters are recommended.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b79,What is the difference between an audiologist and a hearing aid dispenser?,"Audiologists hold advanced degrees and are trained to diagnose and treat a wide range of hearing and balance disorders, while hearing aid dispensers focus their expertise on fitting hearing aids and providing a holistic approach to helping you hear better. Calgary Ear Center employs both levels of hearing professionals.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b80,Do you test for auditory processing disorders?,"Yes, we provide specialized testing for auditory processing and can recommend therapies or accommodations.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b81,Can I bring someone with me to my appointment?,Absolutely. Having a family member or friend present is encouraged and can help with communication and support.,FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b82,How soon can I get an appointment?,"We usually can see new patients within 1–2 weeks, depending on the schedule.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b83,Do you offer same-day appointments?,We try to accommodate urgent needs. Please call us and we’ll do our best to fit you in.,FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b84,Do you accept Medicare?,"We accept Medicare for diagnostic hearing tests, but Medicare does not cover hearing aids. *NOT Applicable",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b85,Can I use my HSA or FSA for hearing aids?,"Yes, most Health Savings Accounts and Flexible Spending Accounts can be used for hearing aids and related services.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b86,How long do hearing aids last?,"With proper care, most last 5–7 years. Technology advances may encourage upgrading sooner.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b87,Do you provide follow-up care after fitting hearing aids?,"Yes, we include follow-up visits for adjustments, counseling, and maintenance every 6 months",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b88,Can hearing aids restore my hearing to normal?,"They don’t cure hearing loss, but they significantly improve your ability to hear and communicate in most situations.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b89,Will I have to wear hearing aids all the time?,"We recommend wearing them during all waking hours for best benefit, but you may remove them for sleeping or bathing.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b90,Are hearing aids uncomfortable?,"Modern devices are small, lightweight, and designed for comfort. It may take a short adjustment period to get used to them.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b91,Do you test for noise-induced hearing loss?,"Yes, our evaluations can identify hearing loss caused by noise exposure and recommend protection strategies.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b92,Can I swim or shower with hearing aids?,"No, most hearing aids are water-resistant but not waterproof. You should remove them before swimming or showering.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b93,Do you provide captioned telephone options?,"Yes, we can guide you through captioned phone programs for people with hearing loss.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b94,Do you provide assistive listening devices?,"Yes, we offer devices like TV streamers, remote microphones, and Bluetooth accessories.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b95,Can children outgrow hearing loss?,"Some temporary hearing losses, like those from ear infections, may resolve. Permanent hearing loss usually requires long-term management.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b96,Do you test newborns for hearing loss?,"NO, we DO NOT provide infant hearing screenings and diagnostic tests as needed.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b97,Do you offer remote or telehealth appointments?,"Yes, we provide virtual consultations for certain services like follow-ups and counseling.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b98,Can untreated hearing loss affect memory or cognition?,"Yes, research shows untreated hearing loss is linked to cognitive decline, so early treatment is important.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b99,Do you see patients with single-sided hearing loss?,"Yes, we provide options such as CROS hearing aids or bone-anchored solutions.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b100,What should I bring to my appointment?,"Please bring your insurance card, photo ID, list of medications, and any previous hearing test results if available.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b101,Can you adjust hearing aids purchased elsewhere?,"In many cases, yes, as long as they’re from a manufacturer we support. We’ll let you know once we see your devices.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b102,What happens if my hearing gets worse over time?,"We’ll monitor your hearing annually and adjust your treatment plan, which may include reprogramming or upgrading hearing aids.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b103,Do you offer free consultations?,We provide complimentary consultations for hearing aid discussions. Diagnostic tests may still have a fee.,FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b104,Does your clinic offer OTC?,"At this point, OTC hearing aids are not available in Canada. I’d be happy to help schedule a visit to discuss which solutions might work best for you.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b105,How are your hearing aids from buying hearing aids in a clinic?,...,FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b106,What is it like to wear hearing aids?,...,FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b107,Can I connect my HAs to my smartphone?,...,FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b108,Are there different programs for various listening situations?,...,FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b109,Is there a trial period?,,FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b110,Is there a warranty?,...,FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b111,Can I shower or swim with my hearing aids on?,...,FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b112,"Do you have invisible products, I want something discreet?",...,FALSE,TRUE
